0,Moins qu'un diplôme d'études secondaires
1,Diplôme d'études secondaires
2,Diplôme d'enseignement supérieur
3,Certificat post-baccalauréat
4,Diplôme de master
5,Certificat de post-master
6,Premier diplôme professionnel
7,Diplôme de doctorat
8,Formation postdoctorale
9,"Services professionnels, scientifiques et techniques"
10,Finances et assurances
11,Fabrication
12,Gouvernement
13,Services d'enseignement
14,Soins de santé et assistance sociale
15,Information
16,"Arts, spectacles et loisirs"
17,"Agriculture, sylviculture, pêche et chasse"
18,Commerce de gros
19,Transport et entreposage
20,Autres services (sauf les administrations publiques)
21,Immobilier et services de location et de location à bail
22,Construction
23,Commerce de détail
24,Services d'hôtellerie et de restauration
25,Services administratifs et d'assistance
26,Gestion de sociétés et d'entreprises
27,"Extraction minière, exploitation en carrière et extraction de pétrole et de gaz"
28,Services publics
29,Comptable
30,Actuaire
31,Opérateur de machine à coller les adhésifs
32,Arbitre de grief
33,Gestionnaire de services administratifs
34,Enseignant pour adultes
35,Responsable publicité
36,Agent de vente en publicité
37,Technicien dans le secteur aérospatial
38,Ingénieur dans le secteur aérospatial
39,"Agent pour artistes, artistes-interprètes et athlètes"
40,Technicien en sciences agro-alimentaires
41,Ingénieur agronome
42,Conducteur d'engins agricoles
43,Inspecteur agricole
44,Enseignant en sciences agricoles au niveau post-secondaire
45,Contrôleur du trafic aérien
46,Superviseur de la manutention du fret d'aéronef
47,Mécanicien d'aéronefs
48,Assembleur de systèmes aéronautiques
49,Spécialiste des opérations aéroportuaires
50,Pilote de ligne/mécanicien de bord
51,Conducteur d'ambulance
52,Préposé aux loisirs
53,Anesthésiste
54,Travailleur préposé au contrôle d'animaux
55,Expert en science animale
56,Entraîneur d'animaux
57,Anthropologue/archéologue
58,Professeur d'anthropologie/d'archéologie au niveau post-secondaire
59,Évaluateur immobilier
60,Arbitre
61,Architecte
62,Dessinateur en architecture
63,Directeur de l'architecture et de l'ingénierie
64,Enseignant en architecture au niveau post-secondaire
65,Archiviste
66,Professeur d'études culturelles au niveau post-secondaire
67,Directeur artistique
68,Enseignant en art/théâtre/musique au niveau post-secondaire
69,Astronome
70,Athlète
71,Entraîneur d'athlètes
72,Scientifique de l'atmosphère
73,Enseignant en sciences de la Terre au niveau post-secondaire
74,Technicien d'équipement audio et vidéo
75,Spécialiste des collections multimédias
76,Audiologiste
77,Préposé à l'entretien des automobiles et des embarcations
78,Réparateur de carrosserie automobile
79,Installateur/réparateur de vitres d'automobile
80,Mécanicien automobile
